;Volume;ano;cvm;empresa_descr
0;22.303.864;2011;21393;CELGPAR
0;1.883.395;2011;21431;HYPERA
0;22.303.864;2011;21555;UNIDAS S.A
0;3.643.112;2011;21610;B3 S.A. - BRASIL
0;22.303.864;2011;21636;RENOVA ENERGIA S.A
0;2.2769999999999997;2011;21717;TARPON INV
0;22.303.864;2011;21725;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A
0;1.304.542;2011;21733;CIELO
0;89.023;2011;21881;FLEURY
0;22.303.864;2011;21903;ECORODOVIAS CONCES
0;40.96;2011;22020;JSL
0;131.914;2011;22055;MARISA LOJAS S.A
0;22.303.864;2011;22187;PETRO RIO S.A
0;22.303.864;2011;22217;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A
0;78.555;2011;22349;AREZZO IND
0;38.191;2011;22357;SONAE SIERRA BRASIL S.A
0;22.303.864;2011;22365;ENAUTA PART
0;15.654000000000002;2011;22454;T4F ENTRETENIMENTO S.A
0;289.905;2011;22470;MAGAZINE LUIZA S.A
0;18.308;2011;22497;QUALICORP
0;22.303.864;2011;22500;BRASIL PHARMA S.A
0;17.673;2011;22519;TECHNOS S.A
0;22.303.864;2011;22551;SOMOS EDUCA
0;22.303.864;2011;22594;STATKRAFT
0;22.303.864;2011;22616;BCO BTG PACTUAL S.A
0;290;2011;2429;CELULOSE IRANI S.A
0;22.303.864;2011;2437;ELETROBRAS
0;22.303.864;2011;2453;CIA ENERGETICA DE MINAS GERAIS - CEMIG
0;11.982000000000001;2011;2461;CENTRAIS ELET DE SANTA CATARINA S.A
0;56.176;2011;3069;FERBASA
0;22.303.864;2011;3077;CEDRO
0;251;2011;3115;CIA SEGUROS ALIANCA DA BAHIA
0;4.048;2011;3158;COTEMINAS
0;925;2011;3190;REDE ENERGIA
0;6.382999999999999;2011;3298;HABITASUL
0;22.303.864;2011;3395;CIA INDUSTRIAL CATAGUASES
0;22.303.864;2011;3654;CIA MELHORAMENTOS DE SAO PAULO
0;3.129.759;2011;3980;GERDAU S.A
0;1.532.996;2011;4030;CIA SIDERURGICA NACIONAL
0;1.8519999999999999;2011;4081;SANTANENSE
0;3.147;2011;4146;KARSTEN
0;22.303.864;2011;4170;VALE S.A
0;1.3259999999999998;2011;4537;GRAZZIOTIN
0;11.58;2011;4669;GUARARAPES CONFECCOES S.A
0;22.303.864;2011;4707;CONSORCIO ALFA DE ADMINISTRACAO S.A
0;22.303.864;2011;4723;CONSTRUTORA ADOLPHO LINDENBERG S.A
0;945.0369999999999;2011;4820;BRASKEM
0;134;2011;4863;CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA
0;22.303.864;2011;5207;DOHLER
0;22.303.864;2011;5258;RAIA DROGASIL S.A
0;1.293.578;2011;5312;MUNDIAL S.A. - PRODUTOS DE CONSUMO
0;22.303.864;2011;5410;WEG S.A
0;41.571999999999996;2011;5762;ETERNIT
0;20.704;2011;5770;EUCATEX
0;24.464000000000002;2011;6173;TAURUS ARMAS S.A
0;7.808;2011;6211;FRAS-LE S.A
