;QtdAcoes;ano;cvm;empresa_descr
0;8.104;2011;2429;CELUL IRANI
0;1.352.634.100  ;2011;2437;ELETROBRAS
0;682.415;2011;2453;CEMIG
0;38.571;2011;2461;CELESC
0;88.320.000  ;2011;3069;FERBASA
0;10.000.000  ;2011;3077;CEDRO
0;7.68;2011;3115;SEG AL BAHIA
0;116.675;2011;3158;COTEMINAS
0;426.592;2011;3190;REDE ENERGIA
0;9.133.687  ;2011;3298;HABITASUL
0;145;2011;3395;IND CATAGUAS
0;6.5729999999999995;2011;3654;MELHOR SP
0;1.719.659  ;2011;3980;GERDAU
0;1.457.970.108  ;2011;4030;SID NACIONAL
0;39.299;2011;4081;SANTANENSE
0;14.405999999999999;2011;4146;KARSTEN
0;5.365.305  ;2011;4170;VALE
0;21.709.458  ;2011;4537;GRAZZIOTIN
0;62.400.000  ;2011;4669;GUARARAPES
0;73.646.388  ;2011;4707;ALFA CONSORC
0;372.119;2011;4723;CONST A LIND
0;801.665;2011;4820;BRASKEM
0;23.153000000000002;2011;4863;COR RIBEIRO
0;50.430.190  ;2011;5207;DOHLER
0;330.386.000  ;2011;5258;RAIADROGASIL
0;284.406.078  ;2011;5312;MUNDIAL
0;620.405.029  ;2011;5410;WEG
0;89.5;2011;5762;ETERNIT
0;92.619;2011;5770;EUCATEX
0;141.412.617  ;2011;6173;FORJA TAURUS
0;102.381;2011;6211;FRAS-LE
0;57.138999999999996;2011;6343;TUPY
0;322.688;2011;6505;VIAVAREJO
0;183.72400000000002;2011;6700;HOTEIS OTHON
0;12.504.967  ;2011;6815;IGB SA
0;5.996.334  ;2011;701;BAHEMA
0;74.757.547  ;2011;7510;INDS ROMI
0;42.593;2011;7544;TEX RENAUX
0;95.66;2011;7595;INEPAR
0;4.415.482  ;2011;7617;ITAUSA
0;100.000.000  ;2011;7811;JOAO FORTES
0;1.309.271  ;2011;7870;KEPLER WEBER
0;165.452.953  ;2011;80020;GP INVEST
0;71.14399999999999;2011;80047;WILSON SONS
0;149.22299999999998;2011;80152;PPLA
0;774.971.710  ;2011;8087;LOJAS AMERIC
0;122.821;2011;8133;LOJAS RENNER
0;1.751;2011;8192;TREVISA
0;17.349.638  ;2011;8397;MANGELS INDL
0;16.167;2011;8427;ESTRELA
0;448.450.042  ;2011;8451;MARCOPOLO
0;42.769.500  ;2011;8575;METAL LEVE
0;412.681;2011;8656;GERDAU MET
0;963.939;2011;8672;JEREISSATI
0;9.764.483  ;2011;8753;METISA
0;11.298;2011;8893;MONT ARANHA
0;13.579;2011;9040;NADIR FIGUEI
0;126.75299999999999;2011;9067;SUZANO HOLD
0;3.824.794  ;2011;906;BRADESCO
0;4.578.062  ;2011;9342;DIMED
0;319.176.942  ;2011;9393;PARANAPANEMA
0;9.48;2011;94;PANATLANTICA
0;13.044.497  ;2011;9512;PETROBRAS
0;84.682.269  ;2011;9954;ALFA HOLDING
0;931.451;2011;9989;PET MANGUINH
0;2.865.417.020  ;2012;1023;BRASIL
0;388.801;2012;10456;ALPARGATAS
0;28.596;2012;10472;SARAIVA LIVR
0;2.568;2012;10880;SONDOTECNICA
0;126.471.030  ;2012;10960;SPRINGER
0;7.282.934  ;2012;11070;WLM IND COM
0;50.315;2012;11223;TEKA
0;2.7710000000000004;2012;11231;TEKNO
0;1.797.087  ;2012;11312;OI
0;2.321.500  ;2012;11398;CRISTAL
0;1.515.152  ;2012;1155;BANESTES
0;835.498;2012;11592;UNIPAR
0;280.0;2012;11762;VULCABRAS
0;94.863;2012;11932;IOCHP-MAXION
0;27.000.000  ;2012;11975;AZEVEDO
0;20.58;2012;11991;WETZEL SA
0;408.974;2012;1210;BANRISUL
0;54.065;2012;12190;BOMBRIL
0;11.651;2012;12530;ITAUTEC
0;233.303;2012;12572;RECRUSUL
0;917.683.296  ;2012;12653;KLABIN SA
0;19.291;2012;12696;SANSUY
0;185.955;2012;12823;ALIPERTI
0;42.5;2012;1325;MERC BRASIL
0;10.582;2012;13285;JOSAPAR
0;11.900.000  ;2012;13366;HAGA SA
0;239.854;2012;13471;PLASCAR PART
0;710.010.000  ;2012;13765;MINUPAR
0;159.009;2012;13773;PORTOBELLO
0;57.736999999999995;2012;13781;SAO CARLOS
0;90.22399999999999;2012;1384;ALFA INVEST
0;1.107.677  ;2012;13986;SUZANO S.A
0;243.785;2012;14109;RANDON PART
0;1.322.640.735  ;2012;14133;TECTOY
0;36.305;2012;14206;BRB BANCO
0;273.655.375  ;2012;14311;COPEL
0;1.013.786.190  ;2012;14320;USIMINAS
0;1.502.786  ;2012;14346;WHIRLPOOL
0;227.836.623  ;2012;14443;SABESP
0;9.183.458  ;2012;14451;CEB
0;416.659;2012;14460;CYRELA REALT
0;63.816.925  ;2012;14664;SCHULZ
0;164.22400000000002;2012;14761;CIA HERING
0;263.41;2012;14826;P.ACUCAR-CBD
0;281.163;2012;15091;LITEL
0;1.600.000  ;2012;1520;BARDELLA
0;1.099.857  ;2012;15253;ENERGISA
0;765.326.706  ;2012;15300;ALL NORTE
0;210.197.643.696  ;2012;15369;FER C ATLANT
0;149.678;2012;15458;BATTISTELLA
0;5.850.636  ;2012;15539;NEOENERGIA
0;980.0;2012;1562;BAUMER
0;433.23;2012;16101;GAFISA
0;872.473.246  ;2012;16292;BRF SA
0;417.555.563  ;2012;16306;ROSSI RESID
0;48.582.043  ;2012;16438;SUL 116 PART
0;1.9;2012;16497;ENCORPAR
0;358.849.702  ;2012;16632;GPC PART
0;324.66900000000004;2012;16659;PORTO SEGURO
0;454.75;2012;1694;BIC MONARK
0;36.946999999999996;2012;16993;EMAE
0;652.742.192  ;2012;17329;ENGIE BRASIL
0;687.664.312  ;2012;17450;RUMO S.A
0;14.049.398  ;2012;17493;CAPITALPART
0;45.294.000  ;2012;17558;SELECTPART
0;2.417.632.647  ;2012;17639;TIM PART SA
0;1.125.602  ;2012;17671;TELEF BRASIL
0;664.1610000000001;2012;17892;SANTOS BRP
0;624.3240000000001;2012;17914;MMX MINER
0;972;2012;17922;BRAZILIAN FR
0;4.605.522.677  ;2012;17930;ALL PAULISTA
0;134.352;2012;17973;KROTON
0;66.003;2012;18287;CIBRASEC
0;152.661.565  ;2012;18376;TRAN PAULIST
0;115.928;2012;18414;IDEIASNET
0;544.383.996  ;2012;18465;ULTRAPAR
0;962.274.260  ;2012;18660;CPFL ENERGIA
0;12.85;2012;18708;PAR AL BAHIA
0;349.548;2012;18724;BRADESPAR
0;429.171;2012;18775;INVEPAR
0;1.765.587.200  ;2012;18821;CCR SA
0;205.487.716  ;2012;18953;CPFL GERACAO
0;650.0;2012;18970;AES TIETE E
0;1.078.236  ;2012;19062;AGPART
0;64.686.081  ;2012;19100;LIQ
0;17.339000000000002;2012;19305;BIOMM
0;146.0;2012;19330;TRIUNFO PART
0;4.570.936  ;2012;19348;ITAUUNIBANCO
0;111.050.752  ;2012;19437;AGCONCESSOES
0;119.684;2012;19445;COPASA
0;558.6990000000001;2012;19453;ECORODOVIAS
0;431.23900000000003;2012;19550;NATURA
0;278.716.786  ;2012;19569;GOL
0;300.72;2012;19615;GRENDENE
