;cvm;codigo;cvm2;ano;1;1.01.01;1.01.02;1.02.01.01;1.02.01.02;1.02.01.03;2.01.04;2.01.02;2.02.01;3.05;open;close
96;10960;SPRI3;10960;2016;72.695;719;6.038;;;39.367;0;3.670;;-4.250;;
97;10960;SPRI3;10960;2017;48.929;2.633;6.589;;;9.491;;0;;-21.964;;
98;10960;SPRI5;10960;2010;147.346;1.614;1.696;;;4.652;10.456;7.774;1.969;3.501;;
99;10960;SPRI5;10960;2011;206.925;1.643;92.896;;;4.971;10.035;6.522;285;62.173;;
100;10960;SPRI5;10960;2012;169.192;1.272;71.724;;;4.964;6.515;5.187;0;-5.546;;
101;10960;SPRI5;10960;2013;139.436;3.259;31.096;;;4.967;4.555;7.026;0;-18.766;;
102;10960;SPRI5;10960;2014;128.085;2.013;36.989;;;2.204;7.406;6.020;;-24.444;;
103;10960;SPRI5;10960;2015;91.465;2.861;16.512;;;1.098;1.185;3.892;;-24.490;;
104;10960;SPRI5;10960;2016;72.695;719;6.038;;;39.367;0;3.670;;-4.250;;
105;10960;SPRI5;10960;2017;48.929;2.633;6.589;;;9.491;;0;;-21.964;;
106;10960;SPRI6;10960;2010;147.346;1.614;1.696;;;4.652;10.456;7.774;1.969;3.501;;
107;10960;SPRI6;10960;2011;206.925;1.643;92.896;;;4.971;10.035;6.522;285;62.173;;
108;10960;SPRI6;10960;2012;169.192;1.272;71.724;;;4.964;6.515;5.187;0;-5.546;;
109;10960;SPRI6;10960;2013;139.436;3.259;31.096;;;4.967;4.555;7.026;0;-18.766;;
110;10960;SPRI6;10960;2014;128.085;2.013;36.989;;;2.204;7.406;6.020;;-24.444;;
111;10960;SPRI6;10960;2015;91.465;2.861;16.512;;;1.098;1.185;3.892;;-24.490;;
112;10960;SPRI6;10960;2016;72.695;719;6.038;;;39.367;0;3.670;;-4.250;;
113;10960;SPRI6;10960;2017;48.929;2.633;6.589;;;9.491;;0;;-21.964;;
114;11070;WLMM3;11070;2010;568.110;174.776;8.502;;;;0;31.770;0;71.822;;
115;11070;WLMM3;11070;2011;561.606;164.379;15.776;;;;0;34.043;;44.497;;
116;11070;WLMM3;11070;2012;658.138;65.550;85.833;;;;;81.404;;59.104;;
117;11070;WLMM3;11070;2013;689.017;94.989;66.761;;;;;107.949;;35.785;;
118;11070;WLMM3;11070;2014;579.580;85.597;53.280;;;;;20.460;;13.518;;
119;11070;WLMM3;11070;2015;518.925;20.723;50.781;;;;;11.020;;-4.895;;
120;11070;WLMM3;11070;2016;518.539;31.019;14.880;;;;;33.701;;-26.262;;
121;11070;WLMM3;11070;2017;473.834;9.388;29.827;;;;1.456;14.840;353;-8.132;;
122;11070;WLMM3;11070;2018;506.836;19.102;19.956;;;;7.545;35.566;923;18.666;;
123;11070;WLMM4;11070;2010;568.110;174.776;8.502;;;;0;31.770;0;71.822;;
124;11070;WLMM4;11070;2011;561.606;164.379;15.776;;;;0;34.043;;44.497;;
125;11070;WLMM4;11070;2012;658.138;65.550;85.833;;;;;81.404;;59.104;;
126;11070;WLMM4;11070;2013;689.017;94.989;66.761;;;;;107.949;;35.785;;
127;11070;WLMM4;11070;2014;579.580;85.597;53.280;;;;;20.460;;13.518;;
128;11070;WLMM4;11070;2015;518.925;20.723;50.781;;;;;11.020;;-4.895;;
129;11070;WLMM4;11070;2016;518.539;31.019;14.880;;;;;33.701;;-26.262;4,88;2,60
130;11070;WLMM4;11070;2017;473.834;9.388;29.827;;;;1.456;14.840;353;-8.132;2,56;5,25
131;11070;WLMM4;11070;2018;506.836;19.102;19.956;;;;7.545;35.566;923;18.666;5,01;5,07
132;1120;BGIP3;1120;2010;2.598.943;134.440;290.496;384.308;;;;;;108.164;;
133;1120;BGIP4;1120;2010;2.598.943;134.440;290.496;384.308;;;;;;108.164;21,00;29,39
134;11223;TEKA3;11223;2010;551.556;4.313;;;;0;223.918;61.522;25.009;7.010;;
