;cvm;codigo;ano;1;1.01.01;1.01.02;1.02.01.01;1.02.01.02;1.02.01.03;2.01.04;2.01.02;2.02.01;3.05;open;close;QtdAcoes;Volume;EBIT;ROIC;EV;DVIDALIQUIDA
2751;6343;TUPY3;2015;5751180;1524622.0;;11484.0;;;485101.0;295080.0;2013145.0;322221.0;;;144178;152.616;322221.0;0.0819592529832292;;
2752;6343;TUPY3;2016;4769806;1203940.0;;0.0;;;328377.0;302497.0;1563179.0;-184663.0;;;144178;227.953.561;-184663.0;-0.05658661340473602;;
2753;6343;TUPY3;2017;4609156;865368.0;1077.0;0.0;;;456015.0;462465.0;1165541.0;190145.0;;;144178;466.917;190145.0;0.057947663183417174;;
2754;6343;TUPY3;2018;4908191;713733.0;0.0;;;;;;;369883.0;;;144178;598.401;369883.0;;;
2755;6505;VVAR3;2010;9891828;1352290.0;600613.0;;7389.0;107369.0;1630638.0;2381450.0;1597566.0;302915.0;3.8875000476837163;4.875;322688;19.579.401;302915.0;0.04918978098396775;1254449.6153869631;
2756;6505;VVAR3;2011;11674930;1425768.0;0.0;;0.0;145365.0;2858730.0;2857469.0;1502201.0;850224.0;4.877500057220459;3.875;322688;22.303.864;850224.0;0.11502425763624112;1573910.7384643555;
2757;6505;VVAR3;2012;12082472;2581134.0;0.0;;0.0;134543.0;2791834.0;3132545.0;999255.0;1213930.0;;;322688;31.092.222;1213930.0;0.19060597510391686;;
2758;6505;VVAR3;2013;13457823;3508878.0;24453.0;;;136306.0;3055807.0;3149899.0;906732.0;2237365.0;;;1290752;188.976.682;2237365.0;0.32907043135169256;;
2759;6505;VVAR3;2014;16004000;4448000.0;0.0;;;105000.0;3409000.0;4132000.0;297000.0;2091000.0;7.510000228881836;6.800000190734862;1290751;487.837;2091000.0;0.2816540948275862;9693540.305429459;
2760;6505;VVAR3;2015;16288000;5580000.0;0.0;;;98000.0;2679000.0;3783000.0;580000.0;707000.0;6.800000190734862;1.5;1290886;209.151.727;707000.0;0.10209386281588448;8778025.046216963;
2761;6505;VVAR3;2016;17527000;4030000.0;;;;182000.0;3532000.0;5618000.0;407000.0;713000.0;1.2000000476837158;3.5999999046325684;1291093;227.953.561;713000.0;0.09049371747683717;1549311.6615641117;
2762;6505;VVAR3;2017;19931000;3559000.0;;;;201000.0;3802000.0;7726000.0;397000.0;1042000.0;3.7999999523162837;7.929999828338622;1291968;247.742.270;1042000.0;0.12051815868609762;4909478.338394164;
2763;6505;VVAR3;2018;21056000;3711000.0;;;;;;;;353000.0;;;1294003;2.972.169;353000.0;;;
2764;6700;HOOT3;2010;556394;3571.0;;;;110.0;12516.0;85931.0;6388.0;2422.0;;;18372400000000002;38.478;2422.0;0.005187495180898366;;
